Year,State/UT,Households_million_est
2011,Uttar Pradesh,33.448
2012,Uttar Pradesh,34.117
2013,Uttar Pradesh,34.799
2014,Uttar Pradesh,35.495
2015,Uttar Pradesh,36.205
2016,Uttar Pradesh,36.929
2017,Uttar Pradesh,37.668
2018,Uttar Pradesh,38.421
2019,Uttar Pradesh,39.19
2020,Uttar Pradesh,39.973
2021,Uttar Pradesh,40.773
2022,Uttar Pradesh,41.588
2023,Uttar Pradesh,42.42
2024,Uttar Pradesh,43.269
2011,Maharashtra,24.422
2012,Maharashtra,24.91
2013,Maharashtra,25.409
2014,Maharashtra,25.917
2015,Maharashtra,26.435
2016,Maharashtra,26.964
2017,Maharashtra,27.503
2018,Maharashtra,28.053
2019,Maharashtra,28.614
2020,Maharashtra,29.187
2021,Maharashtra,29.77
2022,Maharashtra,30.366
2023,Maharashtra,30.973
2024,Maharashtra,31.592
2011,West Bengal,20.38
2012,West Bengal,20.788
2013,West Bengal,21.203
2014,West Bengal,21.627
2015,West Bengal,22.06
2016,West Bengal,22.501
2017,West Bengal,22.951
2018,West Bengal,23.41
2019,West Bengal,23.878
2020,West Bengal,24.356
2021,West Bengal,24.843
2022,West Bengal,25.34
2023,West Bengal,25.847
2024,West Bengal,26.364
2011,Andhra Pradesh (undivided),21.023
2012,Andhra Pradesh (undivided),21.443
2013,Andhra Pradesh (undivided),21.872
2014,Andhra Pradesh (undivided),22.31
2015,Andhra Pradesh (undivided),22.756
2016,Andhra Pradesh (undivided),23.211
2017,Andhra Pradesh (undivided),23.675
2018,Andhra Pradesh (undivided),24.149
2019,Andhra Pradesh (undivided),24.632
2020,Andhra Pradesh (undivided),25.124
2021,Andhra Pradesh (undivided),25.627
2022,Andhra Pradesh (undivided),26.139
2023,Andhra Pradesh (undivided),26.662
2024,Andhra Pradesh (undivided),27.195
2011,Bihar,18.914
2012,Bihar,19.292
2013,Bihar,19.678
2014,Bihar,20.072
2015,Bihar,20.473
2016,Bihar,20.883
2017,Bihar,21.3
2018,Bihar,21.726
2019,Bihar,22.161
2020,Bihar,22.604
2021,Bihar,23.056
2022,Bihar,23.517
2023,Bihar,23.988
2024,Bihar,24.467
2011,Tamil Nadu,18.525
2012,Tamil Nadu,18.895
2013,Tamil Nadu,19.273
2014,Tamil Nadu,19.659
2015,Tamil Nadu,20.052
2016,Tamil Nadu,20.453
2017,Tamil Nadu,20.862
2018,Tamil Nadu,21.279
2019,Tamil Nadu,21.705
2020,Tamil Nadu,22.139
2021,Tamil Nadu,22.582
2022,Tamil Nadu,23.034
2023,Tamil Nadu,23.494
2024,Tamil Nadu,23.964
2011,Madhya Pradesh,15.093
2012,Madhya Pradesh,15.395
2013,Madhya Pradesh,15.703
2014,Madhya Pradesh,16.017
2015,Madhya Pradesh,16.337
2016,Madhya Pradesh,16.664
2017,Madhya Pradesh,16.997
2018,Madhya Pradesh,17.337
2019,Madhya Pradesh,17.684
2020,Madhya Pradesh,18.038
2021,Madhya Pradesh,18.398
2022,Madhya Pradesh,18.766
2023,Madhya Pradesh,19.142
2024,Madhya Pradesh,19.524
2011,Karnataka,13.357
2012,Karnataka,13.624
2013,Karnataka,13.897
2014,Karnataka,14.175
2015,Karnataka,14.458
2016,Karnataka,14.747
2017,Karnataka,15.042
2018,Karnataka,15.343
